bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,checksec,used_nvram_env,full_path,bdg
wpa_supplicant,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TOP'],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/wpa_supplicant,"['httpd', 'eapolclient', 'hostapd']"
hostapd,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']",['TOP'],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/hostapd,"['wpa_supplicant', 'httpd', 'eapolclient']"
klogd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/klogd,[]
wlanconfig,MIPS,1,0,[],[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/wlanconfig,[]
iwconfig,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/iwconfig,[]
80211stats,MIPS,1,0,[],[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/80211stats,[]
zic,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TZ'],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/zic,[]
ebtables,MIPS,0,1,"['libebtc.so', 'libebt_802_3.so', 'libebt_nat.so', 'libebt_arp.so', 'libebt_arpreply.so', 'libebt_ip.so', 'libebt_standard.so', 'libebt_log.so', 'libebt_redirect.so', 'libebt_vlan.so', 'libebt_mark_m.so', 'libebt_mark.so', 'libebt_pkttype.so', 'libebt_stp.so', 'libebt_among.so', 'libebt_limit.so', 'libebt_ulog.so', 'libebtable_filter.so', 'libebtable_nat.so', 'libebtable_broute.so', 'libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 1, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/ebtables,[]
schedule_smtp,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/schedule_smtp,[]
athstats,MIPS,1,0,[],[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/athstats,[]
radartool,MIPS,1,0,[],[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/radartool,[]
