Vendor,Model,Version,Date,Checksum,Description,Download
xerox,VersaLink C9000 Color Printer,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,WorkCentre 6515,65.51.71,03/31/2022,,,https://download.support.xerox.com/pub/drivers/WC6515/firmware/win10/ar/655171_WC6515.zip
xerox,WorkCentre 6515,V12,02/04/2022,,,https://download.support.xerox.com/pub/drivers/XRIP_PLC9065_PLC9070_Base/firmware/win10/en_GB/CardReaderPlug-ins_v12.zip
xerox,VersaLink B620 Printer,120.027.003.20002,04/12/2024,,,https://download.support.xerox.com/pub/drivers/VLB620/firmware/win10/ar/XeroxVersaLink_B620_ALTBOOT_system-sw_12002700320002_.zip
xerox,VersaLink B620 Printer,120.027.003.20000,10/24/2023,,,https://download.support.xerox.com/pub/drivers/VLB620/firmware/win10/ar/XeroxVersaLink_B620_system-sw12002700320000.zip
xerox,VersaLink C7000 Printer,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,WorkCentre 3025,3.50.21.03,01/11/2022,,,https://download.support.xerox.com/pub/drivers/WC3025/firmware/win10/ar/WC3025BI_V3.50.21.03.hd
xerox,WorkCentre 3025,3.50.21.03,01/11/2022,,,https://download.support.xerox.com/pub/drivers/WC3025/firmware/win10/ar/WC3025NI_V3.50.21.03.hd
xerox,WorkCentre 3025,3.50.03.06,01/11/2022,,,https://download.support.xerox.com/pub/drivers/WC3025/firmware/win10/en_GB/WC3025BI_V3.50.03.06.zip
xerox,WorkCentre 3025,3.50.03.06,01/11/2022,,,https://download.support.xerox.com/pub/drivers/WC3025/firmware/win10/en_GB/WC3025NI_V3.50.03.06.zip
xerox,VersaLink C8000 Color Printer,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,WorkCentre 7220/7225,ckupgrade-092120210147,11/18/2021,,,https://download.support.xerox.com/pub/drivers/WC7220_WC7225/firmware/win10/ar/ckupgrade-092120210147.zip
xerox,WorkCentre 7220/7225,075.030.031.27310,11/05/2021,,,https://download.support.xerox.com/pub/drivers/WC7220_WC7225/SPs/win10/ar/WorkCentre_7200-system-sw07503003127310.zip
xerox,Phaser 6510,V12,02/04/2022,,,https://download.support.xerox.com/pub/drivers/XRIP_PLC9065_PLC9070_Base/firmware/win10/en_GB/CardReaderPlug-ins_v12.zip
xerox,Xerox B315 Multifunction Printer,MXLBD.081.215,10/10/2022,,,https://download.support.xerox.com/pub/drivers/B305/firmware/win10/ar/MXLBD.081.215.zip
xerox,Xerox B310 Printer,MSLBD.081.215,10/10/2022,,,https://download.support.xerox.com/pub/drivers/B310/firmware/win10/ar/B310_MSLBD.081.215.zip
xerox,Xerox Color C60/C70,60.32.31,01/18/2022,,,https://download.support.xerox.com/pub/drivers/EC70/firmware/win10/en_GB/C60_C70_EC70_603231_200828.zip
xerox,Xerox B235 Multifunction Printer,MXLSG.081.215,10/10/2022,,,https://download.support.xerox.com/pub/drivers/B225/firmware/win10/ar/B225_B235_MXLSG.081.215.zip
xerox,Xerox C410 Color Printer,CSTGV.221.068,11/10/2023,,,https://download.support.xerox.com/pub/drivers/C410/firmware/win10/ar/C410_CSTGV.221.068.zip
xerox,Xerox Color EC70 Printer,60.32.31,01/18/2022,,,https://download.support.xerox.com/pub/drivers/EC70/firmware/win10/en_GB/C60_C70_EC70_603231_200828.zip
xerox,WorkCentre 3215,3.50.03.07,09/20/2021,,,https://download.support.xerox.com/pub/drivers/WC3215/SPs/win10/ar/WC3215_3225_V3.50.03.07.zip
xerox,Xerox B410 Printer,MSTSN.221.067,07/20/2023,,,https://download.support.xerox.com/pub/drivers/B410/firmware/win10/pt_BR/B410_MSTSN.221.067.zip
xerox,VersaLink B625 Multifunction Printer,120.025.003.20002,04/18/2024,,,https://download.support.xerox.com/pub/drivers/VLB625/firmware/win10/ar/XeroxVersaLink_B625_ALTBOOT_system-sw12002500320002.zip
xerox,VersaLink C505 Multifunction Printer,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,Xerox C230 Color Printer,CSLBL.081.215,10/10/2022,,,https://download.support.xerox.com/pub/drivers/C230/firmware/win10/ar/C230_CSLBL.081.215.zip
xerox,Phaser 3020,3.50.21.03,01/11/2022,,,https://download.support.xerox.com/pub/drivers/3020/firmware/win10/ar/P3020_V3.50.21.03.hd
xerox,Phaser 3020,3.50.02.02,11/26/2019,,,https://download.support.xerox.com/pub/drivers/3020/firmware/win10/en_GB/P3020_V3.50.02.02.zip
xerox,VersaLink C415 Color Multifunction Printer,120.028.003.20002,04/18/2024,,,https://download.support.xerox.com/pub/drivers/VLC415/firmware/win10/ar/XeroxVersaLink_C415_ALTBOOT_system-sw12002800320002.zip
xerox,WorkCentre 7220i/7225i,ckupgrade-092120210147,11/18/2021,,,https://download.support.xerox.com/pub/drivers/WC7220_WC7225/firmware/win10/ar/ckupgrade-092120210147.zip
xerox,WorkCentre 7220i/7225i,075.030.031.27310,11/05/2021,,,https://download.support.xerox.com/pub/drivers/WC7220_WC7225/SPs/win10/ar/WorkCentre_7200-system-sw07503003127310.zip
xerox,VersaLink C605,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,VersaLink C625 Color Multifunction Printer,120.024.003.20002,04/18/2024,,,https://download.support.xerox.com/pub/drivers/VLC625/firmware/win10/ar/XeroxVersaLink_C625_ALTBOOT_system-sw12002400320002.zip
xerox,WorkCentre 3225,3.50.03.07,09/20/2021,,,https://download.support.xerox.com/pub/drivers/WC3215/SPs/win10/ar/WC3215_3225_V3.50.03.07.zip
xerox,Xerox B230 Printer,MSLSG.081.215,10/10/2022,,,https://download.support.xerox.com/pub/drivers/B230/firmware/win10/ar/B230_MSLSG.081.215.zip
