Vendor,Model,Version,Date,Checksum,Description,Download
D-Link(KR),DSR-250,3.17WW_C ,2023-04-12,,--업데이트 내용--* 하드웨어 C 전용 펌웨어(제품 라벨 확인)* 압축 해제 후 업데이트하시기 바랍니다.* 초기 비밀번호 강제 변경 설정* VPN 연결 안정화,https://mydlink.co.kr/2008/data/DSR-250_Cx_FW.zip
D-Link(KR),DSR-250,3.17WW_A ,2021-01-11,,--업데이트 내용--* 하드웨어 A 전용 펌웨어(제품 라벨 확인)* 압축 해제 후 업데이트하시기 바랍니다.* 초기 비밀번호 강제 변경 설정* VPN 연결 안정화,https://mydlink.co.kr/2008/data/DSR-250_Ax_FW.zip
D-Link(KR),DSR-500,3.17WW_B5 ,2023-04-12,,--업데이트 내용--* 압축 해제 후 업데이트하시기 바랍니다.* 마이너 이슈 수정* 스케줄 자동 재부팅 기능 추가,https://mydlink.co.kr/2008/data/DSR-500_Bx_FW3.17B501T_WW%280208155527%29.zip
D-Link(KR),DSR-500,3.17WW ,2021-01-11,,--업데이트 내용--* 압축 해제 후 업데이트하시기 바랍니다.* VRRP 기능 추가* 초기 비밀번호 강제 변경 설정* VPN 연결 안정화,https://mydlink.co.kr/2008/data/DSR-500_v3_17.zip
D-Link(KR),DAP-2360,v3.00B02r066 ,2023-10-19,,하드웨어 버전 B 전용 펌웨어--업데이트 내용--** 주의사항 : AP Array 기능이 삭제되었습니다.* Nuclias Connect 지원* MDNS 지원* DDPv5 지원,https://mydlink.co.kr/2008/data/DAP-2360B_firmware_v3.00B02r066%281208104206%29%280625154230%29.zip
D-Link(KR),DAP-2360,v2.10_rc055 ,2018-01-29,,하드웨어 버전 B 전용 펌웨어--업데이트 내용--* WPA2 보안 패치,https://mydlink.co.kr/2008/data/dap2360b_v210-patch-rc055.bin
D-Link(KR),DAP-2360,v2.10_rc050 ,2016-12-06,,하드웨어 버전 B 전용 펌웨어--업데이트 내용--* CWM v1.03 지원* WLAN Partition 버그 수정* CWM 활성화 시 AP Array 기능 비활성화* 보안 미설정 후 IPv6 연결 불가 버그 수정,https://mydlink.co.kr/2008/data/DAP2360b-firmware-v210-rc050.bin
D-Link(KR),DAP-2360,v2.07_rc043 ,2016-04-05,,하드웨어 버전 B 전용 펌웨어--업데이트 내용--* 웹 서버 보안 취약점 개선,https://mydlink.co.kr/2008/data/DAP2360b-firmware-v207-rc043.bin
D-Link(KR),DAP-2360,v2.06_rc036 ,2015-07-24,,하드웨어 버전 B 전용 펌웨어--업데이트 내용--* 시간대 수정* 특정 설정 시 Captive Portal 사용 불가 버그 수정,https://mydlink.co.kr/2008/data/DAP2360b-firmware-v206-rc036.bin
D-Link(KR),DAP-2360,v2.02_rc021 ,2015-01-26,,하드웨어 버전 B 전용 펌웨어--업데이트 내용--* Captive Portal 기능 수정* IPv6 패킷으로 인한 커널패닉 버그 수정* Syslog 기능 버그 수정,https://mydlink.co.kr/2008/data/DAP-2360B-firmware-v202-rc021.bin
D-Link(KR),DAP-2360,v2.01_rc012 ,2014-12-01,,하드웨어 버전 B 전용 펌웨어--업데이트 내용--* CWM 기능 지원* 일부 국가 코드 추가,https://mydlink.co.kr/2008/data/DAP-2360B-firmware-v201-rc012.bin
D-Link(KR),DAP-2360,v1.11_rc065 ,2014-03-04,,하드웨어 버전 A 전용 펌웨어--업데이트 내용--* Multi-SSID bug 수정* VLAN 활성화 bug 수정* Configuration file 업로드 문제 해결.,https://mydlink.co.kr/2008/data/DAP2360-firmware-v111-beta03-rc065%281224174012%29.bin
