bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
snmpd,MIPS,0,1,"['libpthread.so.0', 'libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",ee9d6666297a950ae74e4ee89d68270e7ff75f20874774cfd9068d327ab86f67,[]
wlanconfig,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",d3e32c4a9f0093062caf0628c813eb942650a2e012414ed53a4c05b31d419ead,[]
autorekey,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",171ad3f72e1b8d9adcca3a9552142f14460ceed54cefd57b0c20af7d962bc6ee,[]
trap_monitor,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",f0dfb3c3afdd20153665c36c990a20f4a512a29ba9a720c91490e3acc400a74f,[]
schedule_smtp,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",2a92c7598aa4b0cb7cca0145f3d436d80d03de5278d82e4e100a51939bc235d4,[]
xmldb,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",bd8e916fdd01f5a9f9adf16404865b5b761c450efa80684d4ac09f98d01a891c,[]
dnrd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6fd13ebff4072a764ac981d6d4c7ba387b8c1653da6251ae645ff5d8cfcb1c68,[]
ldapsearch,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",119ef82c74d3b42244d8787421774d290b4e1a4ffec314caabfbbb2ed6c12369,[]
fresetd,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",76d0d3752546ef5b6f03d45db1c95126e0248f2d9f302bfb4308354bf45b6ac5,[]
athstatsclr,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",42e7a8adf596c7789665d6982dcc2c1fc8355d8d51b9c6851d6505d98e8a73c2,[]
iwpriv,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",46bad0d48f1745856569e08247612643f35062e1a81b925286f632737d0abcf9,[]
autorekeymatchtime,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5eec7590bc0e738128fe5e834e3877caba2b1c447c3834b228925c9f0247ce56,[]
ebtables-restore,MIPS,0,1,"['libebtc.so', 'libebt_802_3.so', 'libebt_nat.so', 'libebt_arp.so', 'libebt_arpreply.so', 'libebt_ip.so', 'libebt_standard.so', 'libebt_log.so', 'libebt_redirect.so', 'libebt_vlan.so', 'libebt_mark_m.so', 'libebt_mark.so', 'libebt_pkttype.so', 'libebt_stp.so', 'libebt_among.so', 'libebt_limit.so', 'libebt_ulog.so', 'libebtable_filter.so', 'libebtable_nat.so', 'libebtable_broute.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 1, 'runpath': 0}",216d80cd05ab5db92079436afd00a06cdda6b9af3cf38bf5637cadec5435e963,[]
static_dhcp,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c8d65edb52b2a473f758c73dfd9c293e2893eca138d617106b4f69cf44a8c223,[]
telnetd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",35b305d1693ccd7b95a59545ffeb6f3f6690b197b2ddb828ee565721ef7729c0,[]
