bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
genZoneInfo,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1b2a3905c4ce2edcfee39a45ed1ba2f41f1b058b208034e23764c33eb879165d,[]
ip,MIPS,0,1,"['libresolv.so.0', 'libgcc_s.so.1', 'libc.so.0']","['HZ', 'PROC_NET_PSCHED', 'PROC_ROOT']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",19bf952dc5a771fbce931fea86eb78e9239e57461c406210cdcefee291ad509d,['tc']
klogd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5ba5bd74fbbe35b7514491723306b7d7b80d688f05b4f54c079ef3d15278d2c9,[]
gpioc,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",9ac6cfb130f7b8e702c4b7fa3a7836202bd7ad6eb4d032cddd666bd3bdb09488,[]
dhcpxmlpatch,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",06ab7f4f493e970c629150e0846d7e85d6d84a56e1abc76034aa4f85de180280,[]
hostapd,MIPS,0,0,"['libssl.so.1.0.0', 'libcrypto.so.1.0.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",b306db3b2149cabadaa985387a55bc83f2065e2ee89c27f67ea0ae838483e349,[]
ethreg,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",8ac0e016e30e552f0f963aebd314fe614ca3991fc152cc5aa8ea64dfa460cce3,[]
dhcp6-multi,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",9b927dfd22de892bdcd82418e34e5efaad8d96bce36b28b86adb8b376781e483,[]
wpa_supplicant,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TOP'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",8ca2b95f6b456ae6ca3940f3b264ac0d7fe804c3a4224776849ebb41e9759993,"['hostapd', 'httpd', 'openssl', 'eapolclient']"
radartool,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",eaec894803a19c4968c1e7fd52a6a3dabfd3cdb35367632e7b46671fac726382,[]
pop3client_ssl,MIPS,0,0,"['libssl.so.1.0.0', 'libcrypto.so.1.0.0', 'libdl.so.0', 'libm.so.0', 'libpthread.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",701d79c2cc96bcb15e590fa1b34cd6eea335b372dee8d87a37e141bf148b507b,[]
athstats,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",03d75965075767242aa15ca5bc5e16d79b67974bb52f878f12cc6765cfdc4a3c,[]
dnrd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6fd13ebff4072a764ac981d6d4c7ba387b8c1653da6251ae645ff5d8cfcb1c68,[]
wlxmlpatch,MIPS,0,1,"['libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7a432013ddf76f41569af6d9470155795bcbed87d0a55705c54ea118cc2922a4,[]
atp,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']","['REALM', 'REMOTE_PASSWD', 'REQUEST_METHOD', 'SESSION_UID', 'QUERY_STRING', 'HTDOCS_DIR', 'REQUEST_URI', 'REMOTE_ADDR', 'SESSION_ID', 'REMOTE_USER']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",dc6cffbe41a7d9ab56a9d0d7168e20ec453ab12dc0dfbc5d3c1de931ca7178d2,[]
mDNSResponderPosix,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",9d8d7d6c67b4ea094f0a083535171b596eaedd2e7a1323a3e8c583e062a779f0,[]
ap_igmp,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",02662a37c25f876ddd38b4e04b9f9fd0f0c11c3e4ae5793a4b50cab1efbf0742,[]
ldapwhoami,MIPS,0,0,"['libssl.so.1.0.0', 'libcrypto.so.1.0.0', 'libgcc_s.so.1', 'libc.so.0']","['LDAPNOINIT', 'HOME', 'LDAPCONF', 'LDAPRC']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",12345223896bb48a955dca8490c1a8bc574084d286df4a67ab1a4d1805158b51,"['ldapsearch', 'snmpd']"
sshd,MIPS,0,1,"['libcrypto.so.1.0.0', 'libutil.so.0', 'libcrypt.so.0', 'libresolv.so.0', 'libz.so.1', 'libgcc_s.so.1', 'libc.so.0']","['KRB5CCNAME', 'TZ', 'DISPLAY']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",2ed56ed759ca5dac066d5ba593c1c396d006c4c288c3d2e3387080d5510b8cdb,['zic']
xmldb,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a58d2174e24b56a1887dcfd5f661cb08cb2cf66767d29d0d01474dfe33df70e4,[]
iputils-ping6,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7216b3ff098dec11f14bc3bacbfc353d9663d78135a7fc49f75d318373573040,[]
zic,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TZ'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",da3451814f275af1bd5da697fce0775deb48bdb0dfbd7e4dacf37385be6322f1,['sshd']
rgbin,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",['SMTPSERVER'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",238e09e50ead6b98506b39ac0154bb95aea64b503c945f7576da9e88dd173c28,[]
80211stats,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",8b5549b49fe33f699ed52ae4bbe88ff8cedb680cfd903eb171efa7010c0886a4,[]
vethctl,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c1d4f92985d0de6c7267bc1d60f5af49a960d13194d4e749da13f436f1d79fed,[]
busybox,MIPS,0,1,['libc.so.0'],Not parsed,Not parsed,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",4b0ac26a506feb651ca0396225e6ba519f225d0ad8f240074dd8e0e96eeaa761,[]
dv8_agent,MIPS,0,0,"['libssl.so.1.0.0', 'libcrypto.so.1.0.0', 'libdl.so.0', 'libm.so.0', 'libpthread.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",2b99a05dafaf933d6e2ccf93c75a23e3f0ba3b371b6167b1e2083b0202baed5b,[]
