bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
apneaps,MIPS,0,1,"['libpthread.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",3c56907562929aa24f17c2dbe85ff7440bd57203cd0be63e5d3dc0f3e30b6602,[]
iproute-ip,MIPS,0,1,"['libresolv.so.0', 'libgcc_s.so.1', 'libc.so.0']","['HZ', 'PROC_NET_PSCHED', 'PROC_ROOT']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",19bf952dc5a771fbce931fea86eb78e9239e57461c406210cdcefee291ad509d,['tc']
stunnel,MIPS,0,1,"['libdl.so.0', 'libutil.so.0', 'libnsl.so.0', 'libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libpthread.so.0', 'libz.so.1', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6d133e2b90f14dd6d85d4888bcf39a561fa5c848e4c905ccf63528b3fdf3b91b,[]
dhcp6-multi,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",4257f8e330d3409b1b52c8e88af3177d5a3f48d97cbf950da89da52dc6f5d6ee,[]
pop3client_ssl,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",99eab04ce7ef53e1e3a2cd50b1d49ff92ebeb39592dc3960652c2bc85fa3421b,[]
iwpriv,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",d5af4866fd8074d442bba5577ed55d58498fcd6198d9ccadd8cc7e78a93dcd8e,[]
servd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",922c5e6a644e14dcc5b3d3d68255c66cb63df488e14b5e6e6105049d49583dc6,[]
ebtables,MIPS,0,1,"['libebtc.so', 'libebt_802_3.so', 'libebt_nat.so', 'libebt_arp.so', 'libebt_arpreply.so', 'libebt_ip.so', 'libebt_standard.so', 'libebt_log.so', 'libebt_redirect.so', 'libebt_vlan.so', 'libebt_mark_m.so', 'libebt_mark.so', 'libebt_pkttype.so', 'libebt_stp.so', 'libebt_among.so', 'libebt_limit.so', 'libebt_ulog.so', 'libebtable_filter.so', 'libebtable_nat.so', 'libebtable_broute.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 1, 'runpath': 0}",afea890fb730f3eb3486bdd50a259086c929a3f975e499425b10c286cb499fd9,[]
sshd,MIPS,0,1,"['libcrypto.so.0.9.8', 'libutil.so.0', 'libcrypt.so.0', 'libresolv.so.0', 'libz.so.1', 'libgcc_s.so.1', 'libc.so.0']","['KRB5CCNAME', 'DISPLAY']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a89832e7efb6899db7b54c8914b8e765c48d5dcc75db8cdc8afbed32caf9d51d,[]
wlanconfig,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",4b8b18bab73d23701766b55a7e36890456cb2a855780aa0a80fa61a0edc6e865,[]
