bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
neapc,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1638324f72168d2437eebaf7fda1d2f10b104a33e45feccbd664abe86f886919,[]
snmpd,MIPS,0,1,"['libpthread.so.0', 'libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']","['MIBDIRS', 'MIBS', 'SNMPCONFPATH', 'HOME', 'SNMP_PERSISTENT_DIR', 'SNMP_PERSISTENT_FILE', 'PREFIX', 'MIBFILES']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6719e965e70a87f7f0e3de3509253f60b9b84acc2d0f632579011d8cd7256124,"['ldapsearch', 'ldapwhoami', 'snmptrap']"
wpa_supplicant,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TOP'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",3ce63abb60e2a73591d436e544db8acac5c190596762f8611ee3c73fbe457db7,"['hostapd', 'eapolclient', 'snmptrap', 'httpd', 'genZoneInfo']"
syslogd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",bf0fed07f6f8cecf94d13fdaccef8f9db0ac18334dd3f10c6733f4c1be3e39ec,[]
cli,MIPS,1,1,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",ca9d36787b1313e7dd96518ecd78bef06283d7792fe3e1f5614e3ebda5f6ead2,[]
neaps_array,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6371310cc4f8b533a71f6c3568f370f3b841cbb1717057424622ef509aeee809,[]
sshd,MIPS,0,1,"['libcrypto.so.0.9.8', 'libutil.so.0', 'libcrypt.so.0', 'libresolv.so.0', 'libz.so.1', 'libgcc_s.so.1', 'libc.so.0']","['KRB5CCNAME', 'DISPLAY']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",233a28e9ab5b14973108cff3bacfd717be5b343c89ebba84d510080a1fd3be68,[]
klogd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6bef7a0a54ded1a3a4e8a25d873028eb8942f353ec538bd189ab558dddc2812f,[]
sendmail,MIPS,0,1,"['libresolv.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",816a9a6fcb7cd1007a665eb966dc505829d82eff773317cf0526ebc72e5bceb3,[]
rgbin,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",['SMTPSERVER'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",ad8f90916e390cf7bbc3891a65d1307a7b97b5368d905fb705747c7c8dd883da,[]
ethreg,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",8ac0e016e30e552f0f963aebd314fe614ca3991fc152cc5aa8ea64dfa460cce3,[]
telnetd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",35b305d1693ccd7b95a59545ffeb6f3f6690b197b2ddb828ee565721ef7729c0,[]
servd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",922c5e6a644e14dcc5b3d3d68255c66cb63df488e14b5e6e6105049d49583dc6,[]
wlxmlpatch,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",e019c7d807f60865d9487fbdb14df3a0abb9c38aa44a7688f2de63f3cc31cdca,[]
email,MIPS,0,0,"['libcrypto.so.0.9.8', 'libssl.so.0.9.8', 'libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",['EDITOR'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6eef1fbc44c2096fbd24c682012d598182970912e2ae6dfb23684d1c2c8b8482,[]
radartool,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c4580e06dd14762b7c415f5d1140c7dd2079795ce0bde6d9cb335e59a17002b4,[]
eapolclient,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TOP'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",fb31c188b86507bc414fb380b86b8455778fca7311bb6c14e83e4601311968f4,"['hostapd', 'wpa_supplicant', 'snmptrap', 'httpd', 'genZoneInfo']"
vethctl,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c1d4f92985d0de6c7267bc1d60f5af49a960d13194d4e749da13f436f1d79fed,[]
cloned,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",07f55703ba29b8b67097fe46c9ab720a52dcab154d791fa533a128d9c1f0d42c,[]
captival_tar,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",2c470b57e18119e473d49a4ee9d0521ca4c83b18f421dc40749e060cdabf5798,[]
static_dhcp,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",443e414d953ba3859d362613d9c498a554f7604e29caac113462a9a62783968a,[]
busybox,MIPS,0,1,['libc.so.0'],Not parsed,Not parsed,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",ec9a5238849592e57b6bc3c03a02866ff056cd96eb8873979b30d32ce351953a,[]
iputils-ping6,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7216b3ff098dec11f14bc3bacbfc353d9663d78135a7fc49f75d318373573040,[]
ap_igmp,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5c13f97a62c619996e68e882333624511390b5ff77b1d912ef794b5cfa462697,[]
dhcpxmlpatch,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",06ab7f4f493e970c629150e0846d7e85d6d84a56e1abc76034aa4f85de180280,[]
ldapwhoami,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']","['LDAPNOINIT', 'HOME', 'LDAPRC', 'LDAPCONF']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",9dd5e989aa7c68f5183fba986cad5d921f3a9fe37dc74943eb51cb5bb9ef25b8,"['ldapsearch', 'snmpd', 'snmptrap']"
iwconfig,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",f97b33aa448883d12f2f22e944a6143374f9c51a6a1567ceaf9c9750a28fc401,[]
iwlist,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",03afdf4f9a7387b9acc37f7fead2e44baeb73bade09780f04e027932025e5bf3,[]
athstatsclr,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",96a7051e98113e86bdcd6bd7d16920520ed0304f7e6ec09f78c4bc78301a71dd,[]
zic,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TZ'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",da3451814f275af1bd5da697fce0775deb48bdb0dfbd7e4dacf37385be6322f1,[]
lld2d,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7ef0a25cf090b1d694d469808c4d07f134841979665f977ba8a24af2a092202b,[]
