bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
rgbin,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6455f74c6d7fd8beea81261eb2a31ba058dd18008d276c4506e04e8e721d417d,[]
gpioc,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",9ac6cfb130f7b8e702c4b7fa3a7836202bd7ad6eb4d032cddd666bd3bdb09488,[]
pop3client_ssl,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",65a532da86e84952811659534c250cce735cf4b8ee64fd59097795d820927928,[]
hostapd,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']",['TOP'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",84963875752e89ae11a45598c952e4624ab8e9b6598e647580364874af2c17c2,"['httpd', 'lldpd', 'wpa_supplicant', 'eapolclient']"
dnrd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6fd13ebff4072a764ac981d6d4c7ba387b8c1653da6251ae645ff5d8cfcb1c68,[]
wpa_supplicant,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TOP'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",71bb1431b6774c8336e53640903e48de5c8d8346229417efd55a24db2af1c4f4,"['hostapd', 'httpd', 'lldpd', 'eapolclient']"
trap_monitor,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0c1c7756016f423fcd6e860f45c81d360e9e65f5778c0a7d1d6b24c91aa83c1d,[]
athstatsclr,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",f795dba84944742805031d256fa2ebb62484de2bb8b96493a88c9be7bc05560a,[]
atp,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']","['REALM', 'REMOTE_PASSWD', 'REQUEST_METHOD', 'QUERY_STRING', 'HTDOCS_DIR', 'REQUEST_URI', 'REMOTE_ADDR', 'SESSION_ID', 'REMOTE_USER']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",38d7b86c9fbd71016c8130cc39bffdb687e01a4d48141180ce9973b7ac7f54d9,[]
tc_monitor,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",532baf5f5ee3d7bd96d361e57b441c0a536a8517b356009825d0cdd4d714a889,[]
captival_usockc,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6d7edbd180d5b29e64b0f0d1a26473e9ffeeef5b9d4ce27bba6884108012a807,[]
eapolclient,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TOP'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",fb31c188b86507bc414fb380b86b8455778fca7311bb6c14e83e4601311968f4,"['hostapd', 'httpd', 'lldpd', 'wpa_supplicant']"
lldpcli,MIPS,0,0,"['liblldpctl.so.4', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 2, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 1, 'runpath': 0}",39ebdf9d4ac6ea136331ccfa96dc20cf8497e5d33353b515d3b48d4adead11ea,[]
athstats,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",71baa46c431f6ca1240ed38baa173072da479f48a65f3a4a14aa25ec46a20df6,[]
ebtables,MIPS,0,1,"['libebtc.so', 'libebt_802_3.so', 'libebt_nat.so', 'libebt_arp.so', 'libebt_arpreply.so', 'libebt_ip.so', 'libebt_standard.so', 'libebt_log.so', 'libebt_redirect.so', 'libebt_vlan.so', 'libebt_mark_m.so', 'libebt_mark.so', 'libebt_pkttype.so', 'libebt_stp.so', 'libebt_among.so', 'libebt_limit.so', 'libebt_ulog.so', 'libebtable_filter.so', 'libebtable_nat.so', 'libebtable_broute.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 1, 'runpath': 0}",769bab5e531dfcce8498cf8eb417ad9160e3fa01ffad737b48d6f485dfe863f6,[]
email,MIPS,0,0,"['libcrypto.so.0.9.8', 'libssl.so.0.9.8', 'libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",['EDITOR'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c6f6a24c3dbb07e8e7b87590c4a3cea7a0a7052a3249ff1df237834a118ac0c5,[]
sendmail,MIPS,0,1,"['libresolv.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",380f40b75f044a57dfb2eae42492754a8bd0a5d011725510a0be4e146f955b1c,[]
ethreg,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",8ac0e016e30e552f0f963aebd314fe614ca3991fc152cc5aa8ea64dfa460cce3,[]
ldapwhoami,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']","['LDAPNOINIT', 'HOME', 'LDAPRC', 'LDAPCONF']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",769264bbb35f337d79727488fa4bfc3bfbfa01ab3526f9bf265f7774a6c6fea8,"['ldapsearch', 'snmpd']"
80211stats,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",cc430e6e269b2f352e3da9722be3cb7e4f348806e0a50d471f9451f508904a58,[]
cli,MIPS,1,1,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",8cbd20a63e0284f2c0136059da0bdf337774e6a0a381acd9d309beb11a027532,[]
radlogin,MIPS,0,0,"['libradiusclient-ng.so.2', 'libcrypt.so.0', 'libnsl.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",bf0cb59bcd1955ce32f3629c7b08b470e1114cdd77d31343590dacf0bd72587e,[]
iwpriv,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",d5af4866fd8074d442bba5577ed55d58498fcd6198d9ccadd8cc7e78a93dcd8e,[]
udhcpd,MIPS,0,1,"['libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",4d3b6cf7c65e3bee09f0ae055e3ebfb8cb26bd0603bb03216c1a01b02962bcfd,[]
radartool,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",743c24a57ce2c5eff5b058ed5877756fd2881d54211223a369c30f2d6ab06496,[]
ldapsearch,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']","['TMPDIR', 'LDAPCONF', 'LDAPNOINIT', 'TMP', 'HOME', 'LDAPRC', 'TEMP']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",799ce2bcde792c5c21ffcdcf2780f3caf7a77f066f221e32bbd17d6068b0e9cd,"['snmpd', 'ldapwhoami']"
xmldb,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",07c8178bdb9283b12431d06c82b4a859a392a72199c6b22801e41ef922deef44,[]
httpd,MIPS,0,1,"['libcrypt.so.0', 'libgcc_s.so.1', 'libc.so.0']","['TOP', 'PATH']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",d1c1dee84aa3290a59975af8f5bb485eb226420e90d45de84b42073ae163517d,"['hostapd', 'lldpd', 'wpa_supplicant', 'eapolclient']"
autorekeysleep,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0aecb2eaa2cdd84b2c7fca58b4e229e4bbbc0be4ae5854d3b1a215d1e960d34b,[]
syslogd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",bf0fed07f6f8cecf94d13fdaccef8f9db0ac18334dd3f10c6733f4c1be3e39ec,[]
iputils-ping6,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7216b3ff098dec11f14bc3bacbfc353d9663d78135a7fc49f75d318373573040,[]
telnetd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",35b305d1693ccd7b95a59545ffeb6f3f6690b197b2ddb828ee565721ef7729c0,[]
