bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
stress,MIPS,0,0,"['libpthread.so.0', 'librt.so.1', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",85a3bb417b7616d481ca276121915f4cd2f005eb890cbd9c5374e13d74c811ed,[]
shutdown-org,MIPS,0,1,['libc.so.6'],['PATH'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a58c06fdfea1a72b21c1637921065664182e5ea4a5209e86b18360d671b77354,['shutdown']
dhcpcd-bin,MIPS,0,1,['libc.so.6'],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5b237940b7424be2460d102f6f00302b31a37ef7d153801eae84d2430a0d9c96,[]
busybox,MIPS,1,1,[],Not parsed,Not parsed,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",02c05b2533e3218253dbb0753529bd970cc958464a7e7a7387afb5b6e6b3a92a,[]
portmap,MIPS,0,1,"['libwrap.so.0', 'libnsl.so.1', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",977e8b95b4cb8c6aa8da2753eabb1e098c6e3f247dbc74672f40d70271990cb1,[]
ISS.exe,MIPS,0,1,"['libnsl.so.1', 'libpthread.so.0', 'libm.so.6', 'libc.so.6']",Not parsed,Not parsed,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",654e9772432fad91f971cb08088f559e88baf4869083b5865ed28dd9e819caaf,[]
locale,MIPS,0,1,['libc.so.6'],"['LC_CTYPE', 'LANG', 'LC_ALL']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",9e0394b2eb20f377e3b4986add8a39e4c6198d6d1f098b4332c55a1f6445e5a5,[]
gdbserver,MIPS,0,0,"['libthread_db.so.1', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1f8e8e7605809cb3d03da94df3f793abbba4115449c1072790f0e20674e21a77,[]
rlogin,MIPS,0,1,"['libcrypt.so.1', 'libutil.so.1', 'libc.so.6']",['TERM'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",866cb40c8af21a5a6392fa26d661362cf49b2ce9f30afdde316a54d7ae117166,['tinylogin']
in.telnetd,MIPS,0,1,"['libutil.so.1', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",6c7313ad61dc8ff6af5349567cd692b7387adc17d388b5679541e9d925b3c0ce,[]
in.ftpd,MIPS,0,1,"['libcrypt.so.1', 'libpam.so.0', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7e7edcf32fe379989fdc211e93bc57b6f27796508f7fd18b295005eb4fee295f,[]
s-c2,MIPS,0,0,"['libpthread.so.0', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",d11785b50b426690fa8f61f17b73ee0a0577941b81254f55104136ce901751b8,[]
rexec,MIPS,0,1,"['libcrypt.so.1', 'libutil.so.1', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",12636d6386bfedc61cfd032f01768ae8bcf4592f406dae8a53452c2e05da7137,[]
tinylogin,MIPS,0,1,"['libcrypt.so.1', 'libc.so.6']",['TERM'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",b99ffc30f0bd78f3c3f751cb964c87bf6dd3848d38c905eae8252d729f50cd7d,['rlogin']
shutdown,MIPS,0,0,['libc.so.6'],['PATH'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c282e19c39da7d5da1d71bfb3b691c40ee9d273d5785a5555c887d2f13e233ae,['shutdown-org']
rsh,MIPS,0,1,"['libcrypt.so.1', 'libutil.so.1', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",49c3cb31a5539c6752d2d6c92bc115ab1a3366961d1216578470066d25a7c89b,[]
in.rexecd,MIPS,0,1,"['libcrypt.so.1', 'libutil.so.1', 'libdl.so.2', 'libpam.so.0', 'libpam_misc.so.0', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",22168d02c28e8590f583d67fd4b5a8cf3f9bf5f56de5bc9d90f297f0c812d7fc,[]
pmap_dump,MIPS,0,1,"['libnsl.so.1', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",e46bb9e38a9a1acc094e00579636a455c17e95b49b08c73e59ef2db88f9356b8,[]
eraseall,MIPS,0,0,['libc.so.6'],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",32ff21675892bcb8b2dee127b3ac64ff95270e89fc53309e71572c7046f865f2,[]
s-c1,MIPS,0,0,"['libpthread.so.0', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0de46fbffa49ced82e4d99287ff79721dd33546f4dd9063c569b07334865730c,[]
in.rshd,MIPS,0,1,"['libcrypt.so.1', 'libutil.so.1', 'libdl.so.2', 'libpam.so.0', 'libc.so.6']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a2cc535d06abc8e5349e8b452a2fefbb8809c41d9501aa5233d6f9c76f8a02fc,[]
