bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
more,ARM,0,1,"['libncurses.so.5', 'libc.so.0']","['TERM', 'EDITOR', 'VISUAL', 'SHELL', 'MORE']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",eeee0677df5c487a0cd1da8b335f35fc20cad2cc28245a1a6f86e32b912bc9b9,"['flock', 'sed', 'tar', 'pg', 'script', 'cal', 'ul', 'make', 'setterm']"
c++filt,ARM,0,1,"['libbfd-2.21.so', 'libm.so.0', 'libgcc_s.so.1', 'libc.so.0']","['TMP', 'TMPDIR', 'COLUMNS', 'TEMP']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 1, 'runpath': 0}",2d07c3489f98e68e0c4f10108b604c1cb07a8fe88992af964e06c83849f59465,"['objdump', 'lsblk', 'addr2line', 'objcopy', 'make', 'ranlib', 'column', 'blkid', 'nm', 'tar', 'sed', 'pg', 'ar', 'strip', 'size']"
lscpu,ARM,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",86ea20876ea9a5bb933d006a90091b966c6c76a7ac32414127471252f34ac50f,[]
blkid,ARM,0,1,"['libblkid.so.1', 'libuuid.so.1', 'libgcc_s.so.1', 'libc.so.0']",['COLUMNS'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 1, 'runpath': 0}",8985a46596719989098e18997834be2c64fe34dc5d875aee514c2728c8a55976,"['objdump', 'lsblk', 'c++filt', 'addr2line', 'objcopy', 'ranlib', 'column', 'nm', 'pg', 'ar', 'strip', 'size']"
fsck.minix,ARM,0,1,['libc.so.0'],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",de229903ae93eb376760fc40ee7c24dc4d5b9bbf5cab41bbe6773e6e066cc586,[]
fdformat,ARM,0,1,['libc.so.0'],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",db2d2b09fa25d04e0c7ab2e807ceadaf195b3cda3b5d99cb43a9508d4f581acc,[]
blockdev,ARM,0,1,['libc.so.0'],"['SSH_CLIENT', 'UNIQUE', 'SERVICE', 'ADDR', 'SSH_TTY', 'TOP', 'USER']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",183a498ec9699ac5501457c2afc77b844016f2e3f240790ff19806b12735be44,['sed']
ubicrc32,ARM,0,1,['libc.so.0'],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5303dc28169e2d517d0ba3c47774267ee015b71486bd550c84aab05b494a0d40,[]
ISS.exe,ARM,0,1,"['librt.so.0', 'libnsl.so.0', 'libpthread.so.0', 'libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",Not parsed,Not parsed,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",17b9eb41c91005dd68d628f8f6ab2c23d1f7b0745dcf79f858cd3691f4b9ee19,[]
scriptreplay,ARM,0,1,['libc.so.0'],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",75c85420f2ee8f9e506f1c417bf8a6ee60a33493d872ca960eb1095720e99b15,[]
audioloopback,ARM,0,1,"['libasound.so.2', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",51289629b844d2616e89ef464d01773e960412634930af58e7625b66bf254590,[]
fstrim,ARM,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",fdf0f027ef16be9ec7528d90f206a7433f59b1b4229f2eb9f910ea94e4226868,[]
ctrlaltdel,ARM,0,1,['libc.so.0'],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",97ca6bcfc6061f3d4d3adfce9cae58d7b0dc572e1dd9032b6a4fb9a00a0d81d2,[]
objcopy,ARM,0,1,"['libbfd-2.21.so', 'libm.so.0', 'libgcc_s.so.1', 'libc.so.0']","['TMP', 'TMPDIR', 'COLUMNS', 'TEMP']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 1, 'runpath': 0}",57ab82c78abefd99c0234581d7ee984a281b9c69e422360cddd4a6ef51365085,"['objdump', 'lsblk', 'c++filt', 'addr2line', 'make', 'ranlib', 'column', 'blkid', 'nm', 'tar', 'sed', 'pg', 'ar', 'strip', 'size']"
aserver,ARM,0,1,"['libasound.so.2', 'libm.so.0', 'libdl.so.0', 'libpthread.so.0', 'librt.so.0', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 1, 'runpath': 0}",937fd1e5587cb5a5ac1ed1400bd0669e0e89342d41d4c40f6007bcc985219b1a,[]
