bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
dhcp6-multi,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",36c5114ed08f601dab1462135a75f4af718948d0227a27ef81831215f915d696,[]
cloned,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",be90c48e69cc5e56580991a0d6ed4eb558743ddc371db09748a24b89591a0666,[]
rxcheck,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a99615dbe999769a44e5078caa46ece6c1f5ded0f9b16f2ba46859afb0c3abcc,[]
neapc,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",e1c5aa87ccf8b5ef243c57456e7e364289af9a6aefc458658758790719f5d639,[]
klogd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",b08975c8da4ab08fef85eb36c4c27115e1962ae887c83345a8433808fb24d3f1,[]
wpa_supplicant,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TOP'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",99aada2537c539dce6ff5553c99d950bec95ce0a22964acdd7480bcad8c28717,"['hostapd', 'httpd', 'eapolclient']"
autorekeysleep,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",ee655624ba7d2afbbaa34415ecb21d10ff6a9aba41773b123ce74d4ef1a5a0d0,[]
wlxmlpatch,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",cc9dfa707b197118da27df16745a415551fc48bdd84882171998fc5d727d17a4,[]
static_dhcp,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",2a153e7d0770f09a47790f70d05c01972867d06fdde57e13cf0397786b4a6925,[]
radartool,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",e2914269684bc3e1b5f08e490186cbe32eacc5c984a04e79dcf30c2485fec104,[]
ldapsearch,MIPS,0,0,"['libssl.so.1.0.0', 'libcrypto.so.1.0.0', 'libgcc_s.so.1', 'libc.so.0']","['TMPDIR', 'LDAPCONF', 'LDAPNOINIT', 'TMP', 'HOME', 'LDAPRC', 'TEMP']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",28ea97e5a96c9f2c561251fd5c8de55e3f38bc6862a26410f69980581dc697b6,"['snmptrap', 'snmpd', 'ldapwhoami']"
rgbin,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",['SMTPSERVER'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",837abe228483e2f5c0791e32fb6b6d54a655a9475bb9f1ed8c4a011045daaba9,[]
