bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
athstats,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1d033522524e3f0a896bb8fe76256c3f8e1f4c9d3cb3970b7d43ce51f43dc643,[]
autorekeymatchtime,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c365aa35c541ddf2e81aee6b06cdc0834aab79da7c45108e7a79c299011bfec5,[]
athstatsclr,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",05bae6d01ede7929c6448a144c911a626b71db70211d476a4b3c5ae0d45cbc03,[]
nart.out,MIPS,0,0,"['libm.so.0', 'libpthread.so.0', 'libdl.so.0', 'libfield.so', 'libpart.so', 'libanwi.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a63650258735d6952f7889f29df2385479d41d25972522203b81fc0f94ad2dae,[]
iputils-ping6,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7216b3ff098dec11f14bc3bacbfc353d9663d78135a7fc49f75d318373573040,[]
rgbin,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",['SMTPSERVER'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c41cef1d0ea2539260d5794f76d198c1a44b5fd491ba6b598a5fee16501e4656,[]
autorekeysleep,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0aecb2eaa2cdd84b2c7fca58b4e229e4bbbc0be4ae5854d3b1a215d1e960d34b,[]
iwpriv,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",d5af4866fd8074d442bba5577ed55d58498fcd6198d9ccadd8cc7e78a93dcd8e,[]
ethlink,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",629d19f6bac487ab45e72d6829814d0640d2b18e5cd6ab1d3362587f2648ea3d,[]
radartool,MIPS,1,0,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",61b303c367387e0e913147db6a86cca7b91a40c4d5efed7c0b0aa6ef02927d48,[]
wlxmlpatch,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",4251bfbe9b421ccce894fc8d58b1693d59a6129a3c9598ee061595f747ce3389,[]
statistic,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7fbb154917f0fd829c3d7b51cd70e8760c95dea0b8099bb094e78452ca2f2d82,[]
email,MIPS,0,0,"['libcrypto.so.1.0.0', 'libssl.so.1.0.0', 'libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",['EDITOR'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",d9d1033339d688858ebc930b6e91443b802f7249bc75b89a400f9d2f61a97487,[]
captival_tar,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a8fb8ab062eb992fd54b3edcf5542ec05acb4d7fd7212ab3136e5d68b974dd18,[]
