bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
xmlcatalog,MIPS,0,1,"['libxml2.so.2', 'libz.so.1', 'libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",7e519f5452af430ce60e2d156891dc23cdebdc868de0df26a2f8b583fc707764,[]
crontab,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']","['CRONTAB_NOHEADER', 'EDITOR', 'VISUAL', 'TMPDIR']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5d17aeee079fb83a674c7dc08eb84f8a5ce02169bd8b8b90e5dbb161d917fe81,"['lighttpd', 'msmtp']"
sta_info_updater,MIPS,0,1,"['libparser.so.0', 'libparser_common.so.0', 'librrm_common.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",f445e41462010387ca7789074de416f43b523a34bf0858172f1ef5b6c07d6e4a,[]
cert_pa,MIPS,0,1,"['libzysh_log.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",99b1b7c33fa55336ebffa6f2545588c99bc9b86c64abbd03ecfe952699529807,[]
reg,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c3bd8d04ea6d75d6ec361821e582eeaf2424e96f7d89662bc609d3a6fffbf0ca,[]
monitor_reverse_ssh,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",ba45dd3fcc28aecf111e05589a0aa3b451a534d7eb0188cff2057c6256874959,[]
fauthd,MIPS,0,0,"['libpthread.so.0', 'libxml2.so.2', 'libzysh_log.so', 'libuam.so', 'libzykit.so', 'librrm_common.so.0', 'libparser.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5a6b55947ae16193888d96f20be5f08e684902605ac50401de4252601d5ac61c,[]
bandselect_v2,MIPS,0,1,"['libevent-1.4.so.2', 'libm.so.0', 'libzysh_log.so', 'libzykit.so', 'libidn.so.12', 'libgcc_s.so.1', 'libpthread.so.0', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",9962740090f5baa9f8eb926ab33abb75bfb1c3632f7175236a5b2e757258410d,[]
cpuusage,MIPS,0,1,"['libzld-sysinfo.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5dc2b801389bd0716d5d3026489f8cf29370fecc8fe6dd17ed472f8c4a7c1995,[]
Clicktocontinue.cgi,MIPS,0,1,"['libgcgi.so.0', 'libpam.so.0', 'libssl.so.1.1', 'libcrypto.so.1.1', 'libuam.so', 'libzysh_log.so', 'libzykit.so', 'libuser_profile.so', 'librrm_common.so.0', 'libcurl.so.4', 'libgcc_s.so.1', 'libc.so.0']","['REMOTE_ADDR', 'REQUEST_METHOD']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",33e033eabf3d94f7fabc8a7df429e5f0a9fb4d35b5e7e3fcdcdc81944112c8af,"['nebula_ap_redirect.cgi', 'zysh-cgi', 'logout.cgi', 'login.cgi', 'dhcp-sniffer', 'fbwifi_auth.cgi', 'admin.cgi', 'setuser.cgi', 'social_login.cgi', 'access.cgi', 'weblogin.cgi', 'fbwifi_forward.cgi', 'nebula_ga_auth.cgi']"
neighbor_collector,MIPS,0,1,"['libevent-1.4.so.2', 'libpthread.so.0', 'libjson-c.so.4', 'libm.so.0', 'libparser.so.0', 'libzykit.so', 'libidn.so.12', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",aa6f155526c76a87a18b79c58943d2052b00c9fb4f745ab2bbcf1f2739eb4aaf,[]
prowlan_swled,MIPS,0,1,"['libzykit.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",f1d32d022956275ddfcf4153032766ad06147c055a1647e9ab9ea620860b2302,[]
reset_csv,MIPS,0,1,"['libpthread.so.0', 'libgd.so.2', 'libpng12.so.0', 'libxml2.so.2', 'libuser_profile.so', 'libzysh_log.so', 'libzykit.so', 'libuam.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a8b2081adee4ae57c5c9515fd0ce6df305650ddaa501061cb67049b27ccb503f,[]
hostapd,MIPS,0,1,"['libzykit.so', 'libsta.so.0', 'librrm_common.so.0', 'libzylog_wrapper.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",946011a81d53bb9e83a1bed06f2913c48c0efae8602caf6714a0b09788a8d179,[]
init,MIPS,1,1,[],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",4fa64f3adf535d8ff6b2f22f7f1a353a952103a90462effc2ff6376f580ec6a7,[]
