bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
login.cgi,MIPS,0,1,"['libgcgi.so.0', 'libpam.so.0', 'libssl.so.1.1', 'libcrypto.so.1.1', 'libuam.so', 'libzysh_log.so', 'libzykit.so', 'libuser_profile.so', 'librrm_common.so.0', 'libcurl.so.4', 'libgcc_s.so.1', 'libc.so.0']","['SERVER_ADDR', 'REMOTE_ADDR', 'SERVER_PORT', 'REMOTE_PORT']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",e01e63a6c6141dca03551c3fce19cc0c825e29a127a90b9f449392cd684c55d5,"['nebula_ap_redirect.cgi', 'zysh-cgi', 'logout.cgi', 'fbwifi_auth.cgi', 'admin.cgi', 'social_login.cgi', 'setuser.cgi', 'access.cgi', 'weblogin.cgi', 'fbwifi_forward.cgi', 'nebula_ga_auth.cgi', 'Clicktocontinue.cgi']"
radiustocloud,MIPS,0,1,"['libssl.so.1.1', 'libcrypto.so.1.1', 'libzysh_log.so', 'libcurl.so.4', 'libm.so.0', 'libpthread.so.0', 'libjson-c.so.4', 'libzykit.so', 'libuam.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",5f90839890115acdc79886bd47747f009602db2747a47776e02304d96ae091ab,[]
hostapd_cli,MIPS,0,1,"['libzykit.so', 'libzylog_wrapper.so', 'libgcc_s.so.1', 'libc.so.0']","['TZ', 'SIMPLE_BACKUP_SUFFIX', 'TAR_OPTIONS', 'BLOCKSIZE', 'POSIXLY_CORRECT', 'BLOCK_SIZE', 'TAPE']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",daffc8047d9234727e35d54825ab51de8188d12c8cbb2e9c558bf2015a65be99,"['in.telnetd', 'zylog_save', 'tcpdump', 'idn', 'login', 'apstats', 'xtables-multi']"
zylog_save,MIPS,0,1,"['libzykit.so', 'libuam.so', 'libgcc_s.so.1', 'libc.so.0']","['TAR_VOLUME', 'TZ', 'TAR_ARCHIVE', 'TAR_SUBCOMMAND', 'TAR_BLOCKING_FACTOR', 'POSIXLY_CORRECT', 'TAR_VERSION', 'TAR_FORMAT', 'TAR_FD']",1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",21cbb4b91e34a31f03a0bbd20cd1ff0ad628ee5052ab4827c79b17ae164b4eae,"['in.telnetd', 'tcpdump', 'idn', 'login', 'apstats', 'hostapd_cli', 'xtables-multi']"
send_system_info_to_vrpt,MIPS,0,1,"['libzysh_log.so', 'libparseZyshXml.so', 'libiface_generic.so', 'libzykit.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",b9e412d9a0f8711c0a0958c387e42754be14d3c7dc17cc4e9b5c2c7633a3e498,[]
ping,MIPS,0,1,"['libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a685e17e7abb01cf17dbe6f5639d5b543bea13e641b38ce39c50e30fa792e0d9,[]
radsniff,MIPS,0,1,"['libm.so.0', 'libfreeradius-radius.so', 'libcrypto.so.1.1', 'libssl.so.1.1', 'libtalloc.so.2', 'libdl.so.0', 'libpthread.so.0', 'libpcap.so.1', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 1, 'runpath': 0}",05601cb84e300f760f07b8ac0d02ee41e05661129485ee83a3a5ad1b5c818418,[]
enhance,MIPS,0,1,"['libtecla.so.1', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 1, 'runpath': 0}",b83ae40834a6be33ead4d9b2dd062069c923af72e2f97baee777f957bd8be196,[]
wpa_passphrase,MIPS,0,1,"['libzylog_wrapper.so', 'libzykit.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",e1855b31973c984698c5fcd8f51bb7116e9b14e567c2de3f0e92076cac7abfae,[]
hostapd,MIPS,0,1,"['libzykit.so', 'libsta.so.0', 'librrm_common.so.0', 'libzylog_wrapper.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",946011a81d53bb9e83a1bed06f2913c48c0efae8602caf6714a0b09788a8d179,[]
zyDualImageKit,MIPS,0,1,"['libzysh_log.so', 'libbmm.so', 'libgcc_s.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",83e6502f86a4934dcab8629b7940e79499629dd5341dd5da8f4e3c827c2d80c7,[]
cron,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",['PATH'],1,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",ff13a4e6664673e57b9533104fdd5e4220b1bacd01c14382849160db3df068da,"['mips-linux-giftogd2', 'login', 'strace', 'blueberry']"
