bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
firewallcmd,MIPS,0,Unknown,"['libcompileoption.so.1', 'libopensource.so.1', 'libtcapi.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a200803d30142efe7c4a5e4d14bf19cb1a60f2274b6b1dd89d330ae0fde0ce5b,[]
dhcp6s,MIPS,0,Unknown,"['libjson-c.so.4', 'libzcfg_msg.so', 'libzcmd_tool.so', 'libzcfg_fe_rdm_access.so', 'libzcfg_fe_rdm_struct.so', 'libzlog.so', 'libzos.so', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",836dbb896ef476b38c01845d9f712766bd991556deef3bbb95d86bc8d5d05884,[]
dqtool,MIPS,0,Unknown,"['libsyslog-ng-3.38.so.0', 'libevtlog-3.38.so.0', 'libsecret-storage.so.0', 'libm.so.0', 'librt.so.0', 'libpcre.so.1', 'libdl.so.0', 'libgmodule-2.0.so.0', 'libgthread-2.0.so.0', 'libglib-2.0.so.0', 'libssl.so.1.1', 'libcrypto.so.1.1', 'libiconv.so.2', 'libintl.so.8', 'libpthread.so.0', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",a9d780df516f0dc429c6bd60780e78615599b2fba89fc6d35fd20db1c9eff94c,[]
igmpproxyV3,MIPS,0,Unknown,"['libcompileoption.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",190060b8def1e0ef14992fafaef015e14dc6c63eb82555d32ab1e67486119cb1,[]
mkswap,MIPS,0,Unknown,"['libuuid.so.1', 'libblkid.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",221e7693cc53c2547dd6180ceb3e58c4ec6f9752d792e2193dd71393f929e487,[]
zyschedule,MIPS,0,Unknown,"['libjson-c.so.4', 'libzcfg_fe_schema.so', 'libzcfg_fe_rdm_access.so', 'libzcfg_fe_rdm_string.so', 'libzcfg_fe_rdm_struct.so', 'libzcfg_msg.so', 'libzcmd_tool.so', 'libzlog.so', 'libzos.so', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",2add15b0b581555bb2bbc81ec6ad413e66f04c20d85c614e49e8a7baeb8da1a5,[]
ripd,MIPS,0,Unknown,"['libm.so.0', 'libcrypt.so.0', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",ae89571e37a7d41fbea7c64c4c23910375a8a3c2ab114937baae7680ff418374,[]
mm.exe,MIPS,0,Unknown,"['libpthread.so.0', 'libjson-c.so.4', 'libzyuitimer.so', 'libm.so.0', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",3d3c6d03b46684a2cb3f6ace4ede1088fdc2567914136862bfb951e23067a433,[]
redirect_console,MIPS,0,Unknown,['libc.so.0'],[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",f2d30d6ab3c14d0d3fc328ba5a22988dce8ec601103ab87442124d633e05b090,[]
udhcpc,MIPS,0,Unknown,"['libjson-c.so.4', 'libzcfg_msg.so', 'libzcmd_tool.so', 'libzcfg_fe_rdm_access.so', 'libzcfg_fe_rdm_struct.so', 'libm.so.0', 'libzlog.so', 'libzos.so', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",cf9c4f807248e2fc02d237c94bd448e635649fc16145ec83e872033928fa06af,[]
lxc-config,MIPS,0,Unknown,"['liblxc.so.1', 'libutil.so.0', 'libpthread.so.0', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",d03f2810c69cfb0c8dabd4435f24d20322fc9584f5209c0c84cac0c3c04c1eac,[]
tcpdump,MIPS,0,Unknown,"['libpcap.so.1.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",e872ee36cadb610e973fba0ed4a5204d80ee3cce035d5093dde8ca02f1facf7b,[]
lxc-autostart,MIPS,0,Unknown,"['liblxc.so.1', 'libutil.so.0', 'libpthread.so.0', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",f3091787e56128424a015e295a86bcae832e0b680db4e6fc498f70949b3c03fd,[]
blkid,MIPS,0,Unknown,"['libblkid.so.1', 'libuuid.so.1', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",c98abe13cd09a46c091faff30b6cb1c8904c83fd469e1178b0f9a4f50237ca09,[]
voicedbgcli,MIPS,0,Unknown,"['libpthread.so.0', 'libzcfg_msg.so', 'libzcfg_fe_rdm_struct.so', 'libzcfg_fe_rdm_string.so', 'libzcfg_fe_schema.so', 'libjson-c.so.4', 'libzos.so', 'libzlog.so', 'libzcfg_fe_rdm_access.so', 'libzcmd_tool.so', 'libzyuitimer.so', 'libc.so.0']",[],0,"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",24621155a042aa1c4f4c7c361aafc3e2952be917164b95f03a25ba902c49d4ea,[]
